0.01	2587.180488
0.02	2587.180488
0.03	2587.180488
0.04	2587.180488
0.05	2587.180488
0.06	2587.180488
0.07	2587.180488
0.08	2587.180488
0.09	2658.011856
0.1	2665.701677
0.11	2673.391497
0.12	2681.081317
0.13	2688.771138
0.14	2696.460958
0.15	2704.150778
0.16	2711.840599
0.17	2719.530419
0.18	2727.22024
0.19	2734.91006
0.2	2742.59988
0.21	2750.289701
0.22	2757.979521
0.23	2765.669341
0.24	2773.359162
0.25	2780.522216
0.26	2782.944371
0.27	2785.366527
0.28	2787.788683
0.29	2790.210838
0.3	2792.632994
0.31	2795.05515
0.32	2797.477305
0.33	2799.899461
0.34	2802.321617
0.35	2804.743772
0.36	2807.165928
0.37	2809.588084
0.38	2812.01024
0.39	2814.432395
0.4	2816.854551
0.41	2819.276707
0.42	2821.263653
0.43	2822.597784
0.44	2823.931916
0.45	2825.266048
0.46	2826.60018
0.47	2827.934311
0.48	2829.268443
0.49	2830.602575
0.5	2831.936707
0.51	2833.270838
0.52	2834.60497
0.53	2835.939102
0.54	2837.273234
0.55	2838.607365
0.56	2839.941497
0.57	2841.275629
0.58	2842.60976
0.59	2843.207917
0.6	2843.490655
0.61	2843.773393
0.62	2844.056131
0.63	2844.338869
0.64	2844.621607
0.65	2844.904345
0.66	2845.187083
0.67	2845.469821
0.68	2845.75256
0.69	2846.035298
0.7	2846.318036
0.71	2846.600774
0.72	2846.883512
0.73	2847.16625
0.74	2847.448988
0.75	2847.731726
0.76	2847.946467
0.77	2848.153653
0.78	2848.360838
0.79	2848.568024
0.8	2848.77521
0.81	2848.982395
0.82	2849.189581
0.83	2849.396766
0.84	2849.603952
0.85	2849.811138
0.86	2850.018323
0.87	2850.225509
0.88	2850.432695
0.89	2850.63988
0.9	2850.847066
0.91	2851.054251
0.92	2851.26241
0.93	2851.474458
0.94	2851.686506
0.95	2851.898554
0.96	2852.110602
0.97	2852.322651
0.98	2852.534699
0.99	2852.746747
1	2852.958795
1.01	2853.170843
1.02	2853.382892
1.03	2853.59494
1.04	2853.806988
1.05	2854.019036
1.06	2854.231084
1.07	2854.443133
1.08	2854.655181
1.09	2854.988214
1.1	2855.401905
1.11	2855.815595
1.12	2856.229286
1.13	2856.642976
1.14	2857.056667
1.15	2857.470357
1.16	2857.884048
1.17	2858.297738
1.18	2858.711429
1.19	2859.125119
1.2	2859.53881
1.21	2859.9525
1.22	2860.36619
1.23	2860.779881
1.24	2861.193571
1.25	2861.607262
1.26	2861.518571
1.27	2861.304286
1.28	2861.09
1.29	2860.875714
1.3	2860.661429
1.31	2860.447143
1.32	2860.232857
1.33	2860.018571
1.34	2859.804286
1.35	2859.59
1.36	2859.375714
1.37	2859.161429
1.38	2858.947143
1.39	2858.732857
1.4	2858.518571
1.41	2858.304286
1.42	2858.09
1.43	2857.668313
1.44	2857.246627
1.45	2856.82494
1.46	2856.403253
1.47	2855.981566
1.48	2855.55988
1.49	2855.138193
1.5	2854.716506
1.51	2854.294819
1.52	2853.873133
1.53	2853.451446
1.54	2853.029759
1.55	2852.608072
1.56	2852.186386
1.57	2851.764699
1.58	2851.343012
1.59	2850.935952
1.6	2850.550833
1.61	2850.165714
1.62	2849.780595
1.63	2849.395476
1.64	2849.010357
1.65	2848.625238
1.66	2848.240119
1.67	2847.855
1.68	2847.469881
1.69	2847.084762
1.7	2846.699643
1.71	2846.314524
