6.6803,1281.9,213.36,770.7
6.7303,1292.6,212.48,769.68
6.7803,1303.2,211.6,768.66
6.8303,1313.7,210.73,767.64
6.8803,1324.2,209.86,766.63
6.9303,1334.7,208.99,765.62
6.9803,1345.1,208.13,764.62
7.0303,1355.5,207.27,763.62
7.0803,1365.8,206.41,762.63
7.1303,1376.1,205.56,761.63
7.1803,1386.4,204.71,760.65
7.2303,1396.6,203.87,759.66
7.2803,1406.8,203.03,758.69
7.3303,1416.9,202.19,757.71
7.3803,1427,201.36,756.74
7.4303,1437,200.53,755.77
7.4803,1447,199.7,754.81
7.5303,1457,198.87,753.85
7.5803,1466.9,198.05,752.9
7.6303,1476.8,197.23,751.95
7.6803,1486.6,196.42,751
7.7303,1496.4,195.61,750.05
7.7803,1506.2,194.8,749.12
7.8303,1515.9,194,748.18
7.8803,1525.6,193.2,747.25
7.9303,1535.2,192.4,746.35
7.9803,1544.8,191.61,745.47
8.0303,1554.4,190.82,744.59
8.0803,1563.9,190.03,743.72
8.1303,1573.4,189.24,742.86
8.1803,1582.8,188.46,741.99
8.2303,1592.2,187.68,741.13
8.2803,1601.6,186.9,740.28
8.3303,1610.9,186.12,739.42
8.3803,1620.2,185.35,738.57
8.4303,1629.4,184.58,737.73
8.4803,1638.7,183.82,736.89
8.5303,1647.8,183.05,736.05
8.5803,1657,182.29,735.21
8.6303,1666,181.54,734.38
8.6803,1675.1,180.78,733.55
8.7303,1684.1,180.03,732.73
8.7803,1693.1,179.28,731.9
8.8303,1702,178.53,731.09
8.8803,1710.9,177.78,730.27
8.9303,1719.8,177.04,729.46
8.9803,1728.6,176.3,728.65
9.0303,1737.4,175.56,727.85
9.0803,1746.2,174.83,727.05
9.1303,1754.9,174.09,726.25
9.1803,1763.6,173.36,725.46
9.2303,1772.2,172.64,724.66
9.2803,1780.9,171.91,723.88
9.3303,1789.4,171.19,723.09
9.3803,1798,170.47,722.31
9.4303,1806.5,169.75,721.53
9.4803,1814.9,169.03,720.76
9.5303,1823.4,168.31,719.99
9.5803,1831.8,167.6,719.22
9.6303,1840.1,166.89,718.46
